Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,
112,I2,18/10/03,Bari,Triestina,4,1,H,3,0,H,1.9,2.87,4,1.8,2.7,5,1.9,2.7,3.6,1.909,2.625,4.333,1.85,2.75,4.5,1.9,2.7,4,2,1.61,1.8,2,-0.5,,,,,,,,,
113,I2,18/10/03,Cagliari,Livorno,4,1,H,3,1,H,1.72,2.87,5,1.7,2.85,5.25,1.7,2.8,4.2,1.727,2.75,5.5,1.72,2.75,5.5,1.7,2.8,5,1.95,1.66,1.7,2.05,-0.5,,,,,,,,,
114,I2,18/10/03,Como,Ternana,0,2,A,0,0,D,2.37,2.62,3.2,2.4,2.65,3,2.4,2.6,2.7,2.4,2.6,3,2.37,2.62,3.1,2.4,2.6,2.9,2,1.61,1.8,2,0,,,,,,,,,
115,I2,18/10/03,Fiorentina,Verona,1,0,H,1,0,H,1.9,2.62,4.5,1.9,2.7,4.3,1.85,2.7,3.7,2,2.625,4,1.9,2.7,4.33,1.85,2.7,4.25,2.1,1.56,1.9,1.9,-0.5,,,,,,,,,
116,I2,18/10/03,Genoa,Pescara,1,1,D,1,0,H,1.72,2.87,5,1.7,2.85,5.25,1.65,2.8,4.6,1.667,2.8,5.5,1.7,2.8,5.5,1.7,2.8,5,2.1,1.56,1.7,2.05,-0.5,,,,,,,,,
117,I2,18/10/03,Messina,Salernitana,2,0,H,2,0,H,1.83,2.75,4.5,1.8,2.7,5,1.8,2.6,4.1,1.833,2.75,4.5,1.85,2.75,4.5,1.85,2.7,4.25,2.1,1.56,1.8,2,-0.5,,,,,,,,,
118,I2,18/10/03,Napoli,Vicenza,1,1,D,0,1,A,1.72,2.87,5,1.75,2.75,5.25,1.75,2.6,4.5,1.75,2.625,5.5,1.8,2.75,4.75,1.75,2.7,4.9,2.3,1.46,1.75,2.08,-0.5,,,,,,,,,
119,I2,18/10/03,Piacenza,Treviso,2,0,H,1,0,H,1.72,2.75,5.5,1.75,2.75,5.25,1.75,2.7,4.2,1.75,2.625,5.5,1.75,2.8,5,1.7,2.8,5,2.2,1.51,1.75,2.08,-0.5,,,,,,,,,
120,I2,18/10/03,Torino,Atalanta,0,1,A,0,1,A,2.3,2.62,3.2,2.3,2.5,3.4,2.3,2.5,2.9,2.2,2.6,3.4,2.25,2.6,3.4,2.3,2.7,2.9,1.9,1.7,1.7,2.05,0,,,,,,,,,
121,I2,18/10/03,Venezia,Palermo,1,1,D,0,0,D,2.75,2.62,2.62,2.8,2.55,2.65,2.6,2.5,2.6,2.75,2.6,2.6,2.7,2.6,2.7,2.6,2.6,2.65,2.2,1.51,1.9,1.9,0,,,,,,,,,
122,I2,25/10/03,Ascoli,Palermo,1,2,A,1,1,D,2.6,2.62,2.8,2.65,2.55,2.8,2.5,2.5,2.7,2.6,2.5,2.875,2.6,2.6,2.8,2.65,2.5,2.7,1.95,1.66,1.85,1.85,0,,,,,,,,,
123,I2,25/10/03,Atalanta,Messina,2,2,D,0,1,A,1.5,3.1,7.5,1.55,3,6.75,1.5,3,5.4,1.533,3.2,6,1.53,3,7,1.45,3.3,6.5,1.9,1.7,1.85,1.85,-1,,,,,,,,,
124,I2,25/10/03,Bari,Fiorentina,0,0,D,0,0,D,2,2.7,4,2,2.6,4.1,2,2.6,3.5,2,2.625,4,1.95,2.7,4.2,2.1,2.65,3.4,2,1.61,1.85,1.86,-0.5,,,,,,,,,
125,I2,25/10/03,Catania,Piacenza,3,0,H,2,0,H,2.25,2.6,3.4,2.25,2.6,3.3,2.2,2.6,3,2.25,2.6,3.25,2.25,2.6,3.4,2.25,2.6,3.15,2,1.61,1.75,1.95,0,,,,,,,,,
126,I2,25/10/03,Livorno,Como,2,1,H,1,1,D,1.72,2.87,5,1.65,2.8,5.8,1.65,2.8,4.6,1.667,2.8,5.5,1.72,2.87,5,1.65,2.8,5.5,1.95,1.66,1.95,1.75,-0.75,,,,,,,,,
127,I2,25/10/03,Napoli,Torino,2,2,D,1,2,A,2.6,2.62,2.8,2.6,2.6,2.8,2.6,2.5,2.6,2.6,2.6,2.75,2.6,2.6,2.8,2.55,2.6,2.7,2.1,1.56,1.85,1.85,0,,,,,,,,,
128,I2,25/10/03,Pescara,Salernitana,2,2,D,0,1,A,1.8,2.7,5,1.8,2.7,4.9,1.85,2.6,3.9,1.833,2.6,5,1.8,2.75,4.75,1.9,2.7,4,1.9,1.7,1.75,1.98,-0.5,,,,,,,,,
129,I2,25/10/03,Ternana,Avellino,2,2,D,0,0,D,1.44,3.3,7.5,1.45,3.45,6.75,1.4,3.2,6.5,1.444,3.4,7,1.44,3.5,7,1.45,3.3,6.5,1.9,1.7,1.8,1.9,-1,,,,,,,,,
130,I2,25/10/03,Treviso,Venezia,1,1,D,0,0,D,1.9,2.62,4.5,1.9,2.6,4.6,1.9,2.6,3.8,1.909,2.625,4.333,1.9,2.7,4.33,1.8,2.75,4.4,2,1.61,1.9,1.8,-0.5,,,,,,,,,
131,I2,25/10/03,Triestina,Albinoleffe,3,0,H,0,0,D,2,2.7,4,1.9,2.6,4.6,1.9,2.6,3.8,1.909,2.625,4.333,1.9,2.75,4.2,1.75,2.8,4.6,2,1.61,1.9,1.8,-0.5,,,,,,,,,
132,I2,25/10/03,Verona,Genoa,3,0,H,1,0,H,2.25,2.62,3.4,2.25,2.6,3.35,2.2,2.6,3,2.25,2.6,3.25,2.25,2.6,3.4,2,2.6,3.8,1.9,1.7,1.7,2.05,0,,,,,,,,,
133,I2,25/10/03,Vicenza,Cagliari,2,0,H,2,0,H,2.6,2.62,2.8,2.6,2.6,2.8,2.6,2.5,2.6,2.6,2.6,2.75,2.62,2.6,2.75,2.5,2.6,2.75,1.9,1.7,1.85,1.75,0,,,,,,,,,
134,I2,02/11/03,Albinoleffe,Vicenza,2,1,H,1,1,D,2.2,2.62,3.4,2.2,2.55,3.55,2.2,2.6,3,2.2,2.6,3.4,2.25,2.6,3.4,2.25,2.6,3.25,2.2,1.51,1.9,1.8,-0.25,,,,,,,,,
135,I2,02/11/03,Avellino,Treviso,2,3,A,1,3,A,2.5,2.5,3.1,2.35,2.7,3,2.4,2.6,2.7,2.2,2.75,3.2,2.4,2.6,3.1,2.35,2.6,3.05,2,1.61,1.8,1.9,0,,,,,,,,,
136,I2,02/11/03,Cagliari,Napoli,1,1,D,0,1,A,1.66,2.75,6,1.75,2.7,5.4,1.75,2.7,4.2,1.75,2.62,5.5,1.75,2.8,5,1.8,2.75,4.6,2,1.61,1.75,1.95,-0.5,,,,,,,,,
137,I2,02/11/03,Fiorentina,Como,1,0,H,1,0,H,1.66,2.75,6,1.7,2.75,5.65,1.65,2.8,4.6,1.62,2.88,6,1.67,2.88,5.5,1.65,2.85,5.5,2.2,1.51,1.95,1.75,-0.75,,,,,,,,,
138,I2,02/11/03,Genoa,Catania,1,3,A,1,0,H,2.1,2.62,3.75,2.15,2.6,3.6,2.1,2.6,3.2,2,2.75,3.75,2,2.62,4,2.2,2.75,3.15,,,,,,,,,,,,,,
139,I2,02/11/03,Livorno,Ternana,1,0,H,0,0,D,2.2,2.62,3.4,2.25,2.55,3.45,2.2,2.6,3,2.25,2.6,3.25,2.25,2.6,3.4,2.2,2.7,3.2,2,1.61,1.95,1.75,-0.25,,,,,,,,,
140,I2,02/11/03,Messina,Pescara,2,2,D,2,1,H,1.8,2.7,5,1.75,2.65,5.5,1.75,2.7,4.2,1.75,2.62,5.5,1.75,2.8,5,1.8,2.75,4.6,2,1.61,1.75,1.95,-0.5,,,,,,,,,
141,I2,02/11/03,Palermo,Atalanta,0,0,D,0,0,D,2.2,2.62,3.4,2.2,2.55,3.55,2.2,2.6,3,2.2,2.5,3.6,2.2,2.62,3.4,2.2,2.7,3.2,2.2,1.51,1.9,1.8,-0.25,,,,,,,,,
142,I2,02/11/03,Piacenza,Triestina,1,0,H,0,0,D,1.72,2.75,5.5,1.7,2.8,5.45,1.7,2.8,4.2,1.75,2.62,5.5,1.7,2.88,5.2,1.75,2.85,4.8,2,1.61,1.95,1.75,-0.75,,,,,,,,,
143,I2,02/11/03,Salernitana,Verona,1,1,D,1,0,H,2.2,2.62,3.4,2.17,2.65,3.45,2.2,2.6,3,2.2,2.6,3.4,2.2,2.7,3.3,2.1,2.7,3.45,2.1,1.56,1.9,1.8,-0.25,,,,,,,,,
144,I2,02/11/03,Torino,Ascoli,3,1,H,0,1,A,1.5,3.4,6,1.45,3.3,7.3,1.5,3.2,5,1.5,3.2,6.5,1.5,3.4,6,1.55,3.3,5.4,1.95,1.66,1.8,1.9,-1,,,,,,,,,
145,I2,02/11/03,Venezia,Bari,3,2,H,1,1,D,2.2,2.62,3.4,2.15,2.6,3.6,2.2,2.6,3,2.2,2.6,3.4,2.2,2.62,3.5,2.1,2.7,3.45,2.2,1.51,1.9,1.8,-0.25,,,,,,,,,
146,I2,09/11/03,Albinoleffe,Piacenza,0,0,D,0,0,D,2.62,2.5,2.87,2.45,2.5,3.1,2.4,2.5,2.8,2.4,2.6,3,2.5,2.6,2.9,2.35,2.7,2.95,2.1,1.56,1.85,1.85,0,,,,,,,,,
147,I2,09/11/03,Ascoli,Atalanta,1,1,D,0,0,D,2.87,2.5,2.62,2.95,2.5,2.55,2.7,2.5,2.5,2.75,2.6,2.6,2.9,2.5,2.6,2.7,2.6,2.6,2,1.6,1.85,1.85,0,,,,,,,,,
148,I2,09/11/03,Bari,Messina,1,3,A,0,0,D,2.2,2.62,3.4,2.1,2.6,3.7,2.1,2.6,3.2,2.25,2.6,3.25,2.2,2.62,3.5,2,2.7,3.75,1.95,1.66,2.1,1.67,-0.5,,,,,,,,,
149,I2,09/11/03,Catania,Palermo,0,2,A,0,1,A,2.7,2.37,3,,,,2.5,2.5,2.7,2.6,2.6,2.75,2.5,2.6,2.9,2.4,2.6,3,,,,,,,,,,,,,,
150,I2,09/11/03,Como,Cagliari,1,3,A,0,1,A,2.75,2.5,2.8,2.7,2.6,2.7,2.7,2.5,2.5,2.6,2.6,2.75,2.7,2.62,2.7,2.65,2.6,2.65,1.95,1.66,1.85,1.85,0,,,,,,,,,
151,I2,09/11/03,Napoli,Salernitana,0,0,D,0,0,D,1.9,2.62,4.5,1.83,2.65,4.9,1.85,2.7,3.7,1.9,2.6,4.5,1.85,2.7,4.6,1.9,2.7,4.2,2.2,1.51,1.9,1.8,-0.5,,,,,,,,,
152,I2,09/11/03,Pescara,Livorno,0,0,D,0,0,D,2.5,2.5,3,2.45,2.5,3.1,2.4,2.5,2.8,2.4,2.6,3,2.4,2.6,3.1,2.4,2.6,3,2.1,1.56,1.77,1.95,0,,,,,,,,,
153,I2,09/11/03,Ternana,Fiorentina,3,2,H,1,1,D,1.83,2.62,5,1.8,2.7,4.9,1.85,2.7,3.7,1.8,2.625,5,1.83,2.7,4.75,1.85,2.7,4.5,2.2,1.51,1.85,1.85,-0.5,,,,,,,,,
154,I2,09/11/03,Treviso,Triestina,2,1,H,1,0,H,1.9,2.7,4.33,1.87,2.7,4.5,1.85,2.7,3.7,1.9,2.6,4.5,1.85,2.75,4.5,1.95,2.7,4,2,1.61,1.9,1.8,-0.5,,,,,,,,,
155,I2,09/11/03,Venezia,Torino,2,1,H,2,0,H,2.87,2.5,2.62,2.75,2.6,2.65,2.7,2.5,2.5,2.6,2.6,2.75,2.7,2.6,2.7,2.65,2.6,2.65,1.95,1.65,1.85,1.85,0,,,,,,,,,
156,I2,09/11/03,Verona,Avellino,2,2,D,2,1,H,1.53,3,7,1.55,3.2,5.8,1.55,3,5,1.571,3.2,5.5,1.57,3.1,6,1.55,3.25,5.5,1.74,1.85,1.8,1.9,-0.75,,,,,,,,,
157,I2,09/11/03,Vicenza,Genoa,0,0,D,0,0,D,2.2,2.8,3.2,2.15,2.6,3.6,2.1,2.6,3.2,2.2,2.7,3.25,2.2,2.62,3.5,2,2.7,3.75,1.9,1.7,1.8,1.9,-0.25,,,,,,,,,
158,I2,16/11/03,Atalanta,Como,2,1,H,0,1,A,1.36,3.75,8,1.35,3.85,8,1.35,3.5,7,1.33,3.75,8,1.33,4,8,1.33,4,8,1.74,1.85,1.9,1.8,-1.25,,,,,,,,,
159,I2,16/11/03,Avellino,Albinoleffe,0,3,A,0,3,A,2.1,2.75,3.5,2.1,2.75,3.45,2.1,2.6,3.2,2.1,2.88,3.2,2.1,2.75,3.5,2.1,2.75,3.5,1.8,1.8,1.8,1.9,-0.25,,,,,,,,,
160,I2,16/11/03,Cagliari,Venezia,2,2,D,1,2,A,1.61,3.1,5.5,1.51,3.15,6.75,1.55,2.8,5.5,1.57,3,6,1.57,3.1,6,1.57,3.1,6,1.85,1.74,1.95,1.75,-1,,,,,,,,,
161,I2,16/11/03,Fiorentina,Genoa,2,2,D,2,0,H,1.8,2.7,5,1.9,2.6,4.6,1.85,2.7,3.7,1.9,2.6,4.5,1.85,2.75,4.5,1.85,2.75,4.5,2.2,1.51,1.9,1.8,-0.5,,,,,,,,,
162,I2,16/11/03,Livorno,Treviso,2,0,H,0,0,D,1.83,2.8,4.5,1.75,2.7,5.3,1.75,2.7,4.2,1.75,2.6,5.5,1.75,2.8,5,1.75,2.8,5,2.1,1.56,1.95,1.75,-0.75,,,,,,,,,
163,I2,16/11/03,Messina,Verona,1,0,H,1,0,H,1.83,2.62,5,1.85,2.65,4.75,1.85,2.6,3.9,1.8,2.62,5,1.85,2.75,4.5,1.85,2.75,4.5,1.85,1.74,1.85,1.85,-0.5,,,,,,,,,
164,I2,16/11/03,Palermo,Napoli,4,0,H,2,0,H,1.61,2.87,6.5,1.65,2.9,5.75,1.65,2.7,4.8,1.67,2.75,6,1.62,3,5.75,1.62,3,5.75,2.2,1.51,1.75,1.95,-0.75,,,,,,,,,
165,I2,16/11/03,Pescara,Piacenza,1,0,H,1,0,H,2.3,2.6,3.25,2.4,2.5,3.2,2.4,2.4,2.9,2.25,2.6,3.25,2.3,2.6,3.25,2.3,2.6,3.25,2.2,1.51,1.95,1.75,-0.25,,,,,,,,,
166,I2,16/11/03,Salernitana,Bari,2,0,H,1,0,H,2,2.7,4,2.05,2.6,3.9,2,2.6,3.4,2.1,2.6,3.75,2,2.7,4,2,2.7,4,2,1.61,1.8,1.9,-0.25,,,,,,,,,
167,I2,16/11/03,Ternana,Ascoli,1,1,D,1,1,D,1.57,3,6.5,1.55,3,6.6,1.55,3,5,1.6,2.8,6.5,1.57,3,6.5,1.57,3,6.5,1.85,1.74,1.75,1.95,-0.75,,,,,,,,,
168,I2,16/11/03,Torino,Catania,1,0,H,1,0,H,1.61,3.1,5.5,1.55,3.15,6,1.6,3,4.6,1.53,3.2,6,1.62,3,5.75,1.62,3,5.75,,,1.85,1.85,-0.75,,,,,,,,,
169,I2,16/11/03,Triestina,Vicenza,0,1,A,0,1,A,1.83,2.62,5,1.95,2.6,4.3,1.9,2.6,3.8,1.9,2.6,4.5,1.91,2.75,4.2,1.91,2.75,4.2,2,1.61,1.95,1.75,-0.5,,,,,,,,,
170,I2,20/11/03,Albinoleffe,Cagliari,0,0,D,0,0,D,2.5,2.6,2.9,2.55,2.55,2.9,2.4,2.5,2.8,2.5,2.5,3,2.5,2.5,3.1,2.5,2.65,2.8,1.9,1.75,,,,,,,,,,,,
171,I2,20/11/03,Bari,Pescara,2,2,D,1,0,H,2.1,2.62,3.75,2.1,2.65,3.7,2.1,2.5,3.4,2.25,2.6,3.25,2.1,2.6,3.75,2,2.7,3.75,1.9,1.75,2,1.73,0,,,,,,,,,
172,I2,20/11/03,Catania,Atalanta,1,1,D,1,1,D,2.62,2.62,2.75,2.75,2.6,2.65,2.6,2.5,2.6,2.75,2.6,2.6,2.7,2.6,2.7,2.75,2.65,2.55,1.95,1.71,1.9,1.8,-0.5,,,,,,,,,
173,I2,20/11/03,Como,Salernitana,1,0,H,0,0,D,2.2,2.6,3.5,2.25,2.65,3.25,2.3,2.6,2.8,2.2,2.7,3.25,2.25,2.62,3.3,2.4,2.65,2.95,1.9,1.75,1.85,1.85,-0.25,,,,,,,,,
174,I2,20/11/03,Fiorentina,Avellino,3,1,H,2,1,H,1.4,3.75,7,1.45,3.6,6.3,1.4,3.2,6.5,1.44,3.6,6,1.44,3.6,6.5,1.45,3.4,6.5,1.85,1.85,1.95,1.77,-1.25,,,,,,,,,
175,I2,20/11/03,Genoa,Triestina,2,2,D,0,2,A,1.8,2.7,5,1.8,2.7,5,1.75,2.8,4,1.7,2.88,5,1.83,2.8,4.5,1.9,2.75,4.1,1.85,1.85,1.9,1.8,-0.75,,,,,,,,,
176,I2,20/11/03,Napoli,Ternana,2,1,H,1,0,H,2.37,2.5,3.25,2.3,2.5,3.4,2.3,2.5,2.9,2.3,2.5,3.3,2.4,2.5,3.25,2.4,2.45,3.2,,,1.95,1.77,-0.25,,,,,,,,,
177,I2,20/11/03,Piacenza,Ascoli,1,1,D,1,1,D,1.66,2.75,6,1.65,2.8,6,1.65,2.8,4.6,1.67,2.7,6,1.67,2.8,6,1.5,3.1,7,1.95,1.71,1.77,1.95,-0.75,,,,,,,,,
178,I2,20/11/03,Treviso,Palermo,1,1,D,0,0,D,2.62,2.62,2.75,2.9,2.5,2.6,2.6,2.6,2.5,2.88,2.6,2.5,2.62,2.6,2.75,2.55,2.7,2.7,1.95,1.66,1.96,1.77,0,,,,,,,,,
179,I2,20/11/03,Venezia,Messina,2,0,H,2,0,H,2.25,2.6,3.4,2.15,2.6,3.6,2.2,2.5,3.1,2.3,2.6,3.2,2.2,2.62,3.5,2.1,2.65,3.6,1.9,1.75,1.85,1.85,-0.25,,,,,,,,,
180,I2,20/11/03,Verona,Livorno,1,1,D,1,0,H,2.3,2.62,3.2,2.3,2.6,3.2,2.4,2.5,2.8,2.4,2.6,3,2.38,2.6,3.1,2.3,2.65,3.1,1.9,1.75,1.97,1.75,-0.25,,,,,,,,,
181,I2,20/11/03,Vicenza,Torino,2,2,D,1,2,A,2.6,2.5,2.9,2.55,2.6,2.85,2.6,2.5,2.6,2.5,2.6,2.88,2.6,2.6,2.8,2.35,2.65,3,1.9,1.75,1.9,1.85,0,,,,,,,,,
182,I2,23/11/03,Ascoli,Vicenza,3,0,H,0,0,D,2.25,2.6,3.4,2.15,2.5,3.85,2.2,2.4,3.3,2.1,2.62,3.6,2.2,2.5,3.75,2.1,2.6,3.5,2,1.61,1.9,1.8,-0.25,,,,,,,,,
183,I2,23/11/03,Atalanta,Napoli,0,0,D,0,0,D,1.53,3.1,6.5,1.65,2.9,5.75,1.6,2.9,4.8,1.67,2.7,6,1.62,2.88,6.5,1.55,3,6,1.85,1.74,1.93,1.78,-0.75,,,,,,,,,
184,I2,23/11/03,Avellino,Bari,1,2,A,0,0,D,2.3,2.7,3.1,2.3,2.8,3,2.3,2.7,2.7,2.25,2.8,3,2.25,2.7,3.2,2.35,2.55,3.05,1.7,1.9,2.05,1.7,-0.25,,,,,,,,,
185,I2,23/11/03,Cagliari,Piacenza,0,2,A,0,1,A,2,2.7,4,1.9,2.6,4.7,1.9,2.5,3.9,1.91,2.6,4.5,1.91,2.62,4.5,1.9,2.75,3.9,2,1.61,1.85,1.85,-0.5,,,,,,,,,
186,I2,23/11/03,Livorno,Venezia,0,0,D,0,0,D,1.83,2.62,5,1.9,2.6,4.7,1.8,2.6,4.1,1.83,2.75,4.5,1.85,2.7,4.6,1.7,2.85,4.75,2,1.61,1.85,1.85,-0.5,,,,,,,,,
187,I2,23/11/03,Messina,Fiorentina,3,0,H,1,0,H,2.1,2.62,3.75,1.95,2.6,4.4,2,2.5,3.5,2,2.62,4,2.1,2.5,4,2.1,2.5,3.7,2,1.61,1.91,1.8,-0.5,,,,,,,,,
188,I2,23/11/03,Palermo,Verona,3,1,H,1,1,D,1.5,3.25,6.5,1.5,3.2,6.8,1.45,3,6.2,1.53,3.2,6,1.5,3.25,6.5,1.5,3.1,6.25,1.9,1.7,1.85,1.85,-1,,,,,,,,,
189,I2,23/11/03,Pescara,Catania,1,0,H,1,0,H,2.25,2.6,3.4,2.2,2.6,3.5,2.1,2.5,3.3,2.2,2.62,3.4,2.2,2.6,3.5,2.1,2.6,3.5,1.9,1.7,1.91,1.8,-0.25,,,,,,,,,
190,I2,23/11/03,Salernitana,Genoa,0,1,A,0,1,A,2.2,2.62,3.4,2.15,2.6,3.6,2.2,2.4,3.3,2.2,2.62,3.4,2.1,2.62,3.75,2.05,2.6,3.65,2,1.61,1.9,1.8,-0.25,,,,,,,,,
191,I2,23/11/03,Ternana,Treviso,3,2,H,1,1,D,1.9,2.62,4.5,1.8,2.7,5,1.75,2.7,4.2,1.8,2.62,5,1.8,2.62,5.2,1.8,2.7,4.5,1.81,1.81,1.75,1.97,-0.5,,,,,,,,,
192,I2,23/11/03,Torino,Albinoleffe,4,0,H,0,0,D,1.57,3,6.5,1.5,3.2,6.8,1.45,3.1,6,1.57,3,6,1.5,3.25,6.5,1.5,3.1,6.25,1.74,1.85,1.85,1.85,-1,,,,,,,,,
193,I2,23/11/03,Triestina,Como,2,2,D,2,2,D,1.83,2.8,4.5,1.85,2.7,4.65,1.8,2.7,3.9,1.83,2.75,4.5,1.75,2.8,5,1.75,3,4.1,1.9,1.7,1.8,1.9,-0.5,,,,,,,,,
194,I2,28/11/03,Genoa,Palermo,1,1,D,0,0,D,,,,2.9,2.45,2.7,2.6,2.5,2.6,3,2.6,2.4,2.8,2.5,2.75,2.6,2.45,2.95,1.95,1.66,1.85,1.85,0,,,,,,,,,
195,I2,30/11/03,Albinoleffe,Salernitana,0,1,A,0,1,A,2.1,2.62,3.75,2.1,2.5,4,2.1,2.5,3.3,2.1,2.6,3.6,2.1,2.6,3.75,2,2.5,4.3,2,1.61,1.8,1.9,-0.25,,,,,,,,,
196,I2,30/11/03,Bari,Cagliari,0,0,D,0,0,D,2.4,2.5,3.25,2.4,2.5,3.25,2.3,2.5,2.9,2.25,2.5,3.5,2.3,2.5,3.5,2.5,2.45,3.1,1.9,1.7,2,1.73,-0.25,,,,,,,,,
197,I2,30/11/03,Catania,Ascoli,1,1,D,1,0,H,1.9,2.62,4.5,1.85,2.55,5,1.9,2.6,3.7,2,2.6,4,1.85,2.62,4.8,1.8,2.5,5.7,1.9,1.7,1.85,1.85,-0.5,,,,,,,,,
198,I2,30/11/03,Como,Venezia,1,1,D,1,1,D,2.4,2.5,3.25,2.35,2.5,3.35,2.3,2.5,2.9,2.2,2.6,3.4,2.3,2.5,3.4,2.4,2.45,3.25,2,1.61,2,1.73,-0.25,,,,,,,,,
199,I2,30/11/03,Fiorentina,Livorno,1,1,D,1,1,D,2.25,2.5,3.6,2.3,2.45,3.5,2.3,2.5,2.9,2.3,2.4,3.5,2.25,2.5,3.6,2.15,2.5,3.75,2.1,1.56,2,1.73,-0.25,,,,,,,,,
200,I2,30/11/03,Napoli,Pescara,1,0,H,0,0,D,1.8,2.75,5,1.85,2.6,5,1.8,2.6,4.1,1.8,2.62,5,1.8,2.7,5,1.85,2.5,5.25,1.95,1.66,1.85,1.85,-0.5,,,,,,,,,
201,I2,30/11/03,Piacenza,Avellino,2,0,H,1,0,H,1.4,4,6.5,1.35,4,7.5,1.35,3.5,7,1.33,4,7.5,1.36,4,7,1.35,4,7.1,1.7,1.9,1.77,1.95,-1.25,,,,,,,,,
202,I2,30/11/03,Treviso,Messina,1,2,A,1,0,H,2.1,2.62,3.75,2.15,2.5,3.85,2.2,2.5,3.1,2.25,2.5,3.5,2.2,2.6,3.5,2,2.5,4.3,2,1.61,1.9,1.8,-0.25,,,,,,,,,
203,I2,30/11/03,Triestina,Ternana,1,1,D,1,1,D,2.4,2.5,3.25,2.5,2.5,3.1,2.4,2.5,2.7,2.4,2.6,3,2.4,2.6,3.1,2.4,2.5,3.15,1.74,1.85,1.85,1.85,0,,,,,,,,,
204,I2,30/11/03,Verona,Torino,0,0,D,0,0,D,2.62,2.62,2.75,2.75,2.5,2.75,2.6,2.5,2.6,2.62,2.5,2.8,2.7,2.6,2.7,2.65,2.5,2.8,1.85,1.74,1.85,1.85,0,,,,,,,,,
205,I2,30/11/03,Vicenza,Atalanta,0,1,A,0,0,D,2.75,2.5,2.75,2.9,2.45,2.7,2.65,2.5,2.65,2.88,2.5,2.6,2.7,2.5,2.8,2.8,2.5,2.65,1.95,1.66,1.85,1.85,0,,,,,,,,,
206,I2,07/12/03,Ascoli,Fiorentina,4,0,H,1,0,H,2.1,2.5,4,2.15,2.5,3.85,2.2,2.5,3.1,2.2,2.5,3.6,2.2,2.5,3.75,2.1,2.4,4.2,2.1,1.56,1.85,1.85,-0.25,,,,,,,,,
207,I2,07/12/03,Atalanta,Bari,2,0,H,2,0,H,1.5,3.25,6.5,1.55,3.1,6.5,1.5,3,5.5,1.533,3.1,6.5,1.53,3.1,6.5,1.5,3.1,7,1.9,1.7,1.75,1.95,-0.75,,,,,,,,,
208,I2,07/12/03,Avellino,Como,0,0,D,0,0,D,2.4,2.6,3.1,2.4,2.8,2.9,2.5,2.5,2.7,2.5,2.6,2.875,2.5,2.75,2.8,2.4,2.5,3.1,1.85,1.74,1.75,1.95,0,,,,,,,,,
209,I2,07/12/03,Cagliari,Verona,1,1,D,1,0,H,1.8,2.7,5,1.65,2.85,6,1.7,2.7,4.4,1.667,2.8,5.5,1.7,2.8,5.5,1.8,2.8,4.5,1.85,1.74,1.9,1.8,-0.75,,,,,,,,,
210,I2,07/12/03,Livorno,Catania,2,2,D,1,0,H,1.85,2.6,5,1.75,2.65,5.55,1.8,2.5,4.3,1.727,2.8,5,1.8,2.7,5,1.85,2.7,4.5,1.9,1.7,1.75,1.95,-0.5,,,,,,,,,
211,I2,07/12/03,Messina,Genoa,4,0,H,1,0,H,1.83,2.5,5.5,1.85,2.65,4.75,1.85,2.5,4.1,2,2.6,4,1.9,2.62,4.5,1.85,2.7,4.5,1.95,1.65,1.85,1.85,-0.5,,,,,,,,,
212,I2,07/12/03,Palermo,Albinoleffe,2,1,H,2,1,H,1.4,3.5,8,1.35,3.75,8.5,1.35,3.3,7.5,1.333,4,8,1.36,3.75,8,1.3,4.2,8,1.74,1.85,1.75,1.95,-1.25,,,,,,,,,
213,I2,07/12/03,Pescara,Vicenza,0,0,D,0,0,D,2,2.5,4.5,1.95,2.5,4.75,1.9,2.5,4,1.833,2.6,5,1.9,2.62,4.5,1.9,2.6,4.5,2.1,1.56,1.65,2.05,-0.25,,,,,,,,,
214,I2,07/12/03,Salernitana,Treviso,0,0,D,0,0,D,2.1,2.5,4,2.1,2.5,4,2.1,2.5,3.4,2,2.5,4.333,2.1,2.6,3.75,2.1,2.5,3.9,2.1,1.56,1.8,1.9,-0.25,,,,,,,,,
215,I2,07/12/03,Ternana,Piacenza,2,0,H,1,0,H,2.1,2.5,4,2,2.5,4.35,1.9,2.5,4,1.909,2.6,4.5,2,2.6,4.2,2,2.5,4.2,1.95,1.66,1.7,2,-0.25,,,,,,,,,
216,I2,07/12/03,Torino,Triestina,1,1,D,0,1,A,1.57,3.1,6,1.55,3.1,6.5,1.45,3,6.2,1.5,3.2,6.5,1.5,3.25,6.5,1.55,3.25,5.5,1.74,1.85,1.75,1.95,-0.75,,,,,,,,,
217,I2,07/12/03,Venezia,Napoli,0,0,D,0,0,D,2.25,2.5,3.6,2.35,2.5,3.3,2.3,2.5,2.9,2.375,2.5,3.2,2.3,2.5,3.4,2.3,2.4,3.5,2,1.61,1.75,1.95,0,,,,,,,,,
